Year,Category,Value
2014,Long_term_Residents_Returning,121940
2014,Long_term_Visitors_Arriving,457270
2014,Permanent_Arrivals,132080
2014,Permanent_and_Long_term_Arrivals,711270
2014,Short_term_Residents_Returning_Original,9139100
2014,Short_term_Visitors_Arriving_Seasonal,6922350
2015,Long_term_Residents_Returning,127640
2015,Long_term_Visitors_Arriving,451150
2015,Permanent_Arrivals,131390
2015,Permanent_and_Long_term_Arrivals,710190
2015,Short_term_Residents_Returning_Original,9420320
2015,Short_term_Visitors_Arriving_Seasonal,7449780
2016,Long_term_Residents_Returning,136170
2016,Long_term_Visitors_Arriving,477830
2016,Permanent_Arrivals,136570
2016,Permanent_and_Long_term_Arrivals,750560
2016,Short_term_Residents_Returning_Original,9969760
2016,Short_term_Visitors_Arriving_Seasonal,8269340
2017,Long_term_Residents_Returning,140770
2017,Long_term_Visitors_Arriving,517060
2017,Permanent_Arrivals,119760
2017,Permanent_and_Long_term_Arrivals,777580
2017,Short_term_Residents_Returning_Original,10535250
2017,Short_term_Visitors_Arriving_Seasonal,8815300
2018,Long_term_Residents_Returning,141630
2018,Long_term_Visitors_Arriving,583300
2018,Permanent_Arrivals,107670
2018,Permanent_and_Long_term_Arrivals,832560
2018,Short_term_Residents_Returning_Original,11061420
2018,Short_term_Visitors_Arriving_Seasonal,9245620
2019,Long_term_Residents_Returning,142180
2019,Long_term_Visitors_Arriving,601750
2019,Permanent_Arrivals,100060
2019,Permanent_and_Long_term_Arrivals,843980
2019,Short_term_Residents_Returning_Original,11308900
2019,Short_term_Visitors_Arriving_Seasonal,9465900
2020,Long_term_Residents_Returning,61520
2020,Long_term_Visitors_Arriving,195300
2020,Permanent_Arrivals,32530
2020,Permanent_and_Long_term_Arrivals,289310
2020,Short_term_Residents_Returning_Original,2832350
2020,Short_term_Visitors_Arriving_Seasonal,1827720
2021,Long_term_Residents_Returning,110530
2021,Long_term_Visitors_Arriving,60630
2021,Permanent_Arrivals,46840
2021,Permanent_and_Long_term_Arrivals,217990
2021,Short_term_Residents_Returning_Original,300820
2021,Short_term_Visitors_Arriving_Seasonal,246240
2022,Long_term_Residents_Returning,195960
2022,Long_term_Visitors_Arriving,486420
2022,Permanent_Arrivals,107820
2022,Permanent_and_Long_term_Arrivals,790170
2022,Short_term_Residents_Returning_Original,5225640
2022,Short_term_Visitors_Arriving_Seasonal,3694360
2023,Long_term_Residents_Returning,154570
2023,Long_term_Visitors_Arriving,786640
2023,Permanent_Arrivals,150040
2023,Permanent_and_Long_term_Arrivals,1091210
2023,Short_term_Residents_Returning_Original,9975240
2023,Short_term_Visitors_Arriving_Seasonal,7187440
2024,Long_term_Residents_Returning,91190
2024,Long_term_Visitors_Arriving,587780
2024,Permanent_Arrivals,107710
2024,Permanent_and_Long_term_Arrivals,786670
2024,Short_term_Residents_Returning_Original,7635040
2024,Short_term_Visitors_Arriving_Seasonal,5322180
