Permanent_Arrivals,Long_term_Residents_Returning,Long_term_Visitors_Arriving,Permanent_and_Long_term_Arrivals,Short_term_Residents_Returning_Original,Short_term_Visitors_Arriving_Seasonal,Year
11600,10840,61930,84380,1098010,562510,2014
11700,9550,67400,88650,612770,637630,2014
11720,9400,35800,56910,622410,600820,2014
10800,9140,31080,51020,751650,528560,2014
11580,7470,26430,45470,669200,472880,2014
10380,8900,29480,48770,672750,457900,2014
9620,9900,54340,73860,930600,589650,2014
11790,9430,35260,56480,765060,540910,2014
10450,9490,30880,50810,808460,521750,2014
10280,9330,33470,53080,934740,586680,2014
10310,9720,27040,47060,684510,611230,2014
11850,18770,24160,54780,588940,811830,2014
11270,9750,61650,82670,1150240,547430,2015
12000,10760,59850,82610,607290,726060,2015
13330,10960,38350,62640,646250,679270,2015
11690,8820,31130,51650,763580,550150,2015
11950,7940,24620,44500,684920,485660,2015
10580,9140,27810,47530,697890,488150,2015
9370,10080,57940,77390,940490,628270,2015
11740,9690,33510,54940,790400,574140,2015
10140,9730,30150,50010,834870,571990,2015
9370,9670,34290,53330,971250,625800,2015
9560,10580,27650,47800,705370,671540,2015
10390,20520,24200,55120,627770,901320,2015
10070,10360,61000,81430,1209170,617670,2016
10830,10900,71640,93380,668150,798610,2016
12070,11720,34600,58400,664190,757350,2016
11310,9280,30080,50670,812520,610500,2016
11710,8010,24550,44260,719280,541280,2016
10930,10270,28700,49900,721850,555070,2016
10570,11060,67090,88720,1024590,715780,2016
13430,10300,33340,57060,822320,632140,2016
11680,10740,34110,56530,883760,647040,2016
11090,10760,36460,58310,1024640,695920,2016
11170,11070,30120,52360,738730,721830,2016
11710,21700,26140,59540,680560,976150,2016
9680,12010,60290,81980,1260360,723990,2017
11960,11150,81960,105080,738700,787580,2017
11690,11520,36820,60020,690430,772230,2017
10820,11210,33810,55840,893920,700010,2017
10560,8610,26860,46020,775960,579090,2017
9330,10500,32110,51940,763180,606010,2017
8260,11180,72510,91950,1070740,746410,2017
10250,11020,36220,57490,863230,702900,2017
9990,10950,35450,56390,946170,663590,2017
8800,10660,40110,59570,1078680,741360,2017
9140,11000,31840,51990,773110,777090,2017
9280,20960,29080,59310,680770,1015040,2017
9120,11370,70680,91160,1336960,702580,2018
9350,11820,84440,105610,709020,914530,2018
10990,12410,45850,69240,740730,872350,2018
9390,9640,40450,59480,929040,679780,2018
9360,8790,30550,48700,822240,609450,2018
8970,10440,38230,57640,808710,646650,2018
8310,11370,82230,101900,1133600,774360,2018
10420,11010,39240,60670,916200,741710,2018
8490,10860,38470,57820,973970,690190,2018
7710,10900,43350,61960,1147820,753960,2018
7410,11330,36760,55490,810320,802160,2018
8150,21690,33050,62890,732810,1057900,2018
7990,11430,74490,93910,1392850,731130,2019
8600,11420,95080,115100,746080,927240,2019
9280,10980,50030,70280,753510,836350,2019
7780,10740,39070,57590,916430,700370,2019
9690,9500,34130,53320,866280,668280,2019
9060,10160,40620,59840,841950,660340,2019
7720,11220,76870,95810,1122590,790380,2019
9660,11880,40960,62500,930970,789200,2019
7520,10630,40170,58320,992820,694960,2019
7280,10770,41140,59190,1145970,774020,2019
7670,11600,36940,56210,849790,815910,2019
7810,21850,32250,61910,749660,1077720,2019
7810,11900,73560,93270,1397420,766590,2020
7780,11140,78920,97840,785390,685410,2020
6270,10320,35120,51700,538360,331890,2020
410,1250,210,1870,17050,2250,2020
680,1380,240,2290,13380,3440,2020
980,2690,290,3960,15760,5400,2020
620,2450,380,3450,10280,3530,2020
780,2440,610,3830,8070,3030,2020
920,2530,880,4320,8170,3720,2020
1490,3520,1460,6470,11170,6070,2020
1900,5050,1810,8760,13000,7570,2020
2890,6850,1820,11550,14300,8820,2020
2260,7330,2240,11820,11350,7990,2021
2240,6810,1510,10560,8390,6260,2021
3060,9340,2020,14420,9250,8320,2021
3140,8830,2330,14310,16990,22610,2021
3700,9580,2690,15970,62360,36190,2021
3680,8890,2650,15220,50490,36770,2021
3640,7700,2970,14310,41830,18720,2021
2820,5460,2040,10320,10310,6390,2021
2290,3920,2170,8380,6040,4430,2021
1900,3340,1910,7150,5070,4410,2021
6640,13450,5400,25490,25910,20860,2021
11470,25880,32700,70040,52830,73290,2021
8090,15000,29840,52930,151570,60760,2022
7680,15480,40800,63950,116860,90460,2022
7960,19150,30930,58040,146340,170250,2022
8010,18460,29380,55840,282630,235460,2022
8610,14760,35070,58430,360610,231480,2022
9720,16880,37610,64210,390890,275300,2022
8830,15500,60550,84880,671040,325680,2022
9700,14500,47110,71310,607950,348440,2022
8690,13270,43930,65890,633790,371850,2022
8350,13060,39110,60520,721860,430470,2022
10810,15270,46490,72570,612120,505240,2022
11370,24630,45600,81600,529980,648970,2022
11320,12470,73920,97700,1097900,412410,2023
12180,12250,110810,135230,639580,600710,2023
14580,14090,66840,95510,635730,613340,2023
11820,11300,52270,75380,750170,544920,2023
12220,9890,54830,76940,707440,512330,2023
12590,12500,60980,86060,729540,542080,2023
10400,12100,100190,122690,995580,625120,2023
13230,12080,57490,82810,858540,603360,2023
11850,11600,55590,79040,939060,584620,2023
11030,11110,51440,73580,1061340,607930,2023
13940,13530,50540,78000,820760,663760,2023
14880,21650,51740,88270,739600,876860,2023
15540,11790,98080,125410,1392890,603770,2024
16400,13490,123190,153080,775630,857950,2024
16120,13230,57320,86670,767110,761050,2024
12370,9740,55070,77180,964310,593090,2024
12680,8790,48240,69710,807920,600780,2024
11920,11260,50720,73900,863950,587760,2024
10190,11540,98220,119950,1146340,658970,2024
12490,11350,56940,80770,916890,658810,2024
